time period,network rail region,network rail route,scheduled stops,recorded station stops,recorded_station_stops_%,time_to_3_%,cancellations_%,source_sheet
Apr 2025 to Mar 2026 Period 04,Southern,High Speed,11072,10693,100.0,83.16655756102122,3.4230491329479773,3130c Region and route
Apr 2025 to Mar 2026 Period 04,Southern,Kent,810089,775037,98.66835901346536,85.84015988914078,3.0357158287546184,3130c Region and route
Apr 2025 to Mar 2026 Period 04,Southern,Sussex,622053,582016,97.52344184612497,83.4277751814383,4.060264961345737,3130c Region and route
Apr 2025 to Mar 2026 Period 04,Southern,Wessex,669181,623260,98.47094028167056,80.3744825594455,5.416023467492352,3130c Region and route
Apr 2025 to Mar 2026 Period 04,Wales & Western,Wales,215381,188211,90.15620733757743,75.73627471295514,3.07362302152929,3130c Region and route
Apr 2025 to Mar 2026 Period 04,Wales & Western,Western,414631,370265,93.20329451803075,78.28177116389612,4.188061191758455,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Eastern,Anglia,897168,854588,97.43780357102136,90.63771080333447,2.241274766821822,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Eastern,East Coast,257052,241465,99.91972159116771,82.1555919077299,5.988282526492695,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Eastern,East Midlands,228615,206888,97.43563176708284,77.49941997602568,7.122017365439713,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Eastern,North & East,399552,370922,96.38217983863633,76.93288615935425,3.680872577286561,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),349578,340312,99.97444175805452,95.71158231270128,2.6257373175657506,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),125724,115725,94.67109514966582,93.59688917692807,2.7719448951671914,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),7715,5823,76.61842105263158,89.86776575648291,1.4906027219701878,3130c Region and route
Apr 2025 to Mar 2026 Period 05,North West & Central,Central,370616,357441,98.71688295906786,84.02925238011308,2.301303775336197,3130c Region and route
Apr 2025 to Mar 2026 Period 05,North West & Central,North West,809745,739848,94.36608041386752,81.20208475254377,3.177049564986508,3130c Region and route
Apr 2025 to Mar 2026 Period 05,North West & Central,West Coast South,190252,182104,98.96902734224271,82.26782497913281,3.285642200870424,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Scotland,Scotland,727228,665029,94.51200534360366,88.01826687257247,3.2428619360090645,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Southern,High Speed,11080,10981,99.96358670914884,84.70995355614242,0.8574007220216607,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Southern,Kent,817777,779436,98.69526679666725,87.26219984706891,3.428440760745289,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Southern,Sussex,621579,578557,97.63439227102054,86.94908194006814,4.666180807266654,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Southern,Wessex,651234,614847,98.37630701045609,85.09889452172655,4.029120101223216,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Wales & Western,Wales,212200,185209,89.24272649300838,78.54045969688298,2.198868991517436,3130c Region and route
Apr 2025 to Mar 2026 Period 05,Wales & Western,Western,409409,367690,92.52739786353284,80.814000924692,2.9369163843491473,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Eastern,Anglia,894432,854976,97.48393180265961,88.22235945804326,1.9441388501305858,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Eastern,East Coast,250426,239284,99.91106360413701,83.97594490229183,4.364163465454865,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Eastern,East Midlands,228487,210060,97.7264162793619,77.6697134152147,5.925938893678852,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Eastern,North & East,394603,373573,97.28235536146288,78.53726045511854,2.6847236336267084,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),349859,341988,99.89892911600951,93.03513573575681,2.150866491929606,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),125819,118953,95.95073120760166,94.3792926618076,1.4671869908360422,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),5683,4311,77.5638718963656,89.23683600092785,2.1995424951610065,3130c Region and route
Apr 2025 to Mar 2026 Period 06,North West & Central,Central,379076,367856,98.91926050420167,85.41847897003176,1.8996190737477447,3130c Region and route
Apr 2025 to Mar 2026 Period 06,North West & Central,North West,824296,756334,94.65592871401127,82.50772806722956,3.0645544804293605,3130c Region and route
Apr 2025 to Mar 2026 Period 06,North West & Central,West Coast South,191756,181622,97.6630388023746,82.16680798581669,3.018419241118922,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Scotland,Scotland,740734,690844,94.49610303632151,89.41251570542698,1.303031857589904,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Southern,High Speed,10978,10734,100.0,84.4326439351593,2.222627072326471,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Southern,Kent,802456,764951,98.70399163865574,86.71313587406252,3.422119094380253,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Southern,Sussex,621575,579672,97.48432220990833,85.18817538194014,4.334794674818002,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Southern,Wessex,634516,607782,98.43627770930475,84.83387135518984,2.691657893575576,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Wales & Western,Wales,215625,190062,90.07336214740673,80.18278246046026,2.1412173913043477,3130c Region and route
Apr 2025 to Mar 2026 Period 06,Wales & Western,Western,405955,365969,93.17404144813891,77.49836734805406,3.2454336071732084,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Eastern,Anglia,894297,850852,97.54915280276167,88.14388401273077,2.4676365905286497,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Eastern,East Coast,254100,246469,99.95660567127376,82.8307008183585,2.961038961038961,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Eastern,East Midlands,229775,210834,96.51450230718524,78.01777701888689,4.92960504841693,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Eastern,North & East,389600,368277,96.9348971631019,76.92443459678448,2.484086242299795,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),350772,340729,99.93459489898872,91.22381716848287,2.7995393018827044,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),138903,119900,89.00667364467111,92.4979149291076,3.0193732316796615,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),7440,4536,62.2478386167147,84.9867724867725,2.056451612903226,3130c Region and route
Apr 2025 to Mar 2026 Period 07,North West & Central,Central,382304,370220,98.72296398219777,84.28583004699908,1.9081673223403366,3130c Region and route
Apr 2025 to Mar 2026 Period 07,North West & Central,North West,834443,757885,94.09133458641949,80.58953535166945,3.471177779668593,3130c Region and route
Apr 2025 to Mar 2026 Period 07,North West & Central,West Coast South,195039,184774,98.00046673455533,82.69724095381385,3.3301032101272057,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Scotland,Scotland,716777,658278,94.31362800820095,86.7382777489146,2.6242471507874834,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Southern,High Speed,11089,10890,100.0,85.46372819100092,1.7945711966813958,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Southern,Kent,804186,769638,98.60933872480435,84.71255317434951,2.9463333109504517,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Southern,Sussex,608061,572133,97.58915306507103,85.93334067428377,3.584179876690003,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Southern,Wessex,652584,622219,98.65405227141562,84.46881242777864,3.3522121290132767,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Wales & Western,Wales,208124,173766,85.9712746325221,77.63256333229745,2.8843381830062844,3130c Region and route
Apr 2025 to Mar 2026 Period 07,Wales & Western,Western,404091,365272,92.96889515572784,77.10555421713134,2.7701681056989638,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Eastern,Anglia,889536,844152,97.64288110302708,87.96366057297737,2.8111284984531264,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Eastern,East Coast,252135,243421,99.95729391232932,81.24935810796931,3.4148372895472665,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Eastern,East Midlands,229267,215035,97.1018681164852,75.50073243890529,3.4082532593002917,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Eastern,North & East,387328,368289,96.96638591299357,71.95924939381844,1.9407324025115664,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),341883,331151,99.97826237912221,91.20340871686933,3.1180257573497365,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),140182,131183,95.31362391286974,91.76417676070832,1.818350430155084,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),7007,5743,82.95536617073523,81.00296012537001,1.1988011988011988,3130c Region and route
Apr 2025 to Mar 2026 Period 08,North West & Central,Central,377114,361846,98.80131936783931,79.01897492303355,2.884538892748612,3130c Region and route
Apr 2025 to Mar 2026 Period 08,North West & Central,North West,839653,773333,94.94806502308221,77.91029220271216,2.9980241837997363,3130c Region and route
Apr 2025 to Mar 2026 Period 08,North West & Central,West Coast South,197755,187646,98.76729056571995,79.17941229762425,3.9275871659376502,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Scotland,Scotland,744781,695538,95.19246166163701,83.9324379113722,1.8953222490906723,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Southern,High Speed,11101,10893,100.0,81.14385385109703,1.87370507161517,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Southern,Kent,799129,770499,98.59030397330318,82.7829757079503,2.2040246318178918,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Southern,Sussex,615288,575893,97.5532619503775,84.03054039552487,4.055174162343488,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Southern,Wessex,647890,607493,98.6515036611091,77.79431203322508,4.9534643226473625,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Wales & Western,Wales,209778,184035,90.13900317385682,75.05257152172142,2.6742556416783456,3130c Region and route
Apr 2025 to Mar 2026 Period 08,Wales & Western,Western,402826,357140,91.76353302706092,74.00683205465643,3.383594902017248,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Eastern,Anglia,881531,830862,97.59404236825259,87.13564948210413,3.424269821481037,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Eastern,East Coast,249109,236075,99.94284746623767,77.70496664195701,5.178054586546452,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Eastern,East Midlands,228718,208337,97.67780955506588,71.77745671676179,6.745424496541593,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Eastern,North & East,395287,370089,96.72924676492343,65.9322487293597,3.2088077776400437,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),340512,330946,99.98791489670258,90.70331715748189,2.7975519218118596,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),143992,131588,94.22834555453711,89.23686050399733,3.0168342685704763,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),7968,6493,82.92464878671775,81.01031880486677,1.7319277108433735,3130c Region and route
Apr 2025 to Mar 2026 Period 09,North West & Central,Central,380837,360357,98.33165516507445,75.92831553154234,3.7722175103784563,3130c Region and route
Apr 2025 to Mar 2026 Period 09,North West & Central,North West,840178,766450,94.74252826391687,74.18631352338704,3.7130227166148124,3130c Region and route
Apr 2025 to Mar 2026 Period 09,North West & Central,West Coast South,197154,184238,98.71038602694956,76.00386456648465,5.330350893210384,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Scotland,Scotland,745814,690574,95.45619161623674,82.96808162485121,2.999139195563505,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Southern,High Speed,10993,10917,100.0,83.292113217917,0.6913490402983717,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Southern,Kent,806321,770840,98.62220112613852,81.49187898915469,3.0647843724769666,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Southern,Sussex,620292,576363,97.54134011179727,81.4077239517457,4.739864450936011,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Southern,Wessex,647774,614587,98.22799093457616,75.20220896309229,3.4116837045018786,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Wales & Western,Wales,212968,180416,88.2238457099825,70.68996097907059,3.9771233236918224,3130c Region and route
Apr 2025 to Mar 2026 Period 09,Wales & Western,Western,402991,344462,89.14648033126295,71.17214670994188,4.116965391286654,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Eastern,Anglia,756191,716050,97.4192503867247,89.82096222330843,2.7998217381587454,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Eastern,East Coast,223500,216044,99.94633604737231,82.57253152135677,3.284116331096197,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Eastern,East Midlands,204876,188954,97.47634720345016,79.49236322067806,5.3837443136336125,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Eastern,North & East,361758,340103,97.08546357114923,75.72294275557698,3.163717181098967,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),319580,312312,99.98687382544749,93.86542944235252,2.2614055948432314,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),135625,125350,95.20952171172061,91.00039888312725,2.9257142857142857,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),5225,4397,85.62804284323272,87.03661587445986,1.7224880382775118,3130c Region and route
Apr 2025 to Mar 2026 Period 10,North West & Central,Central,342626,329899,99.19536946553409,82.77169679204847,2.9335193476268584,3130c Region and route
Apr 2025 to Mar 2026 Period 10,North West & Central,North West,758642,690366,94.840134848872,80.77338687015293,4.0488135378742545,3130c Region and route
Apr 2025 to Mar 2026 Period 10,North West & Central,West Coast South,181685,170774,98.78181397501157,80.82553550306253,4.846299914687509,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Scotland,Scotland,653112,604602,94.2954998455967,86.00666223399857,1.8272516811817883,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Southern,High Speed,9409,9307,100.0,84.10873536048136,1.0840684451057498,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Southern,Kent,669630,641791,98.66467223283837,85.4552338689698,2.860236249869331,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Southern,Sussex,552525,520283,97.76502930416008,85.33586528869866,3.6827292882674993,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Southern,Wessex,574012,540797,98.22832035542575,81.09937740039238,4.087196783342509,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Wales & Western,Wales,194668,165068,88.13780141389547,78.04722902076719,3.7931247046253107,3130c Region and route
Apr 2025 to Mar 2026 Period 10,Wales & Western,Western,365413,327194,93.73977567362375,76.7162600781188,4.479315185830827,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Eastern,Anglia,886702,845656,97.66298799388376,90.43854711608503,2.346898958161818,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Eastern,East Coast,251226,243391,99.88960026266108,83.44269097871326,3.0116309617635117,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Eastern,East Midlands,233455,216206,97.4976888908931,79.5759599641083,5.011672485061361,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Eastern,North & East,398782,376928,97.01162560257787,80.16491213175992,2.5685712996073042,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),353748,341567,99.98068102320326,92.14414741470927,3.4247543449008897,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),145596,134398,94.87163197165103,94.38830934984152,2.7013104755625155,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),7457,6223,85.49251270778953,88.7835449140286,2.387018908408207,3130c Region and route
Apr 2025 to Mar 2026 Period 11,North West & Central,Central,372911,352990,98.87813554811692,86.40159777897391,4.268042508802369,3130c Region and route
Apr 2025 to Mar 2026 Period 11,North West & Central,North West,836164,770537,94.76837286643035,82.59538477711,2.761420008515076,3130c Region and route
Apr 2025 to Mar 2026 Period 11,North West & Central,West Coast South,200327,187720,98.44198205473776,81.06808011932665,4.810135428574281,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Scotland,Scotland,742310,692938,94.57916014926555,88.34037100000288,1.3008042462044158,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Southern,High Speed,11452,11328,100.0,86.9968220338983,1.0827803003842122,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Southern,Kent,801016,773238,98.64654709401196,86.61459990326394,2.1434028783445025,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Southern,Sussex,605478,570961,97.65893323846143,84.96604846915989,3.440257119168657,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Southern,Wessex,656354,628720,98.6269222382752,84.411025575773,2.8766488815486766,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Wales & Western,Wales,207176,177877,88.68839871562194,85.0385378660535,3.1914893617021276,3130c Region and route
Apr 2025 to Mar 2026 Period 11,Wales & Western,Western,397755,346316,91.67886612539013,81.90525416093972,5.029729356010609,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Eastern,Anglia,892493,849975,97.60840880981992,90.86961381217094,2.4304952531840587,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Eastern,East Coast,242456,235705,99.93936772836743,84.25277359411129,2.7254429669713267,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Eastern,East Midlands,234990,219859,97.55425498400415,80.58619387880415,4.093365675135112,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Eastern,North & East,395267,376208,96.89439714010499,80.52779313571216,1.7712078164886014,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),351798,343416,99.98456920420766,93.76412281314789,2.3675518337227612,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),143805,135762,96.06504249131422,94.70617698619644,1.7259483328117937,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),6948,5577,80.60413354531002,90.12013627398244,0.4173862982153138,3130c Region and route
Apr 2025 to Mar 2026 Period 12,North West & Central,Central,380828,369920,98.78917036538533,87.26535467128028,1.6737214700599745,3130c Region and route
Apr 2025 to Mar 2026 Period 12,North West & Central,North West,815622,756161,94.79003963786883,82.66361264333918,2.194644087579786,3130c Region and route
Apr 2025 to Mar 2026 Period 12,North West & Central,West Coast South,199314,189621,98.58943296557031,81.49993935270882,3.5020119008198116,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Scotland,Scotland,744221,694754,94.63856381783185,89.3097412897227,1.3581987071044757,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Southern,High Speed,11333,11251,100.0,85.73460136876722,0.7235506926674313,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Southern,Kent,803839,777536,98.6924960366167,87.42823483414273,1.9906971420893986,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Southern,Sussex,623966,586642,97.57932118530593,85.87094002816028,3.649397563328771,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Southern,Wessex,649849,615582,98.69999518991807,84.49142437563152,4.025396669072354,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Wales & Western,Wales,211472,186171,89.68595391678429,85.45853006107288,1.8399599001286224,3130c Region and route
Apr 2025 to Mar 2026 Period 12,Wales & Western,Western,393805,353034,91.56443388543359,83.84716486230788,2.0941836695826614,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Eastern,Anglia,945782,903155,97.63278428371132,90.70015667299633,2.191731286913898,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Eastern,East Coast,285234,277991,99.93169914552035,85.2844156825221,2.472706619827931,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Eastern,East Midlands,257082,240768,97.60930817100115,80.34664074960128,4.052014532328207,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Eastern,North & East,442757,420803,96.60618109856607,82.56024790697785,1.6196243085936528,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),371956,362845,99.92564339121215,93.79983188413786,2.3768940412306834,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),166777,154489,94.54361861632141,95.67930402811851,2.0218615276686833,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),8126,6655,82.99039780521262,90.57851239669421,1.3167610140290427,3130c Region and route
Apr 2025 to Mar 2026 Period 13,North West & Central,Central,415346,400106,99.15173382829983,86.3123772200367,2.8450978220567915,3130c Region and route
Apr 2025 to Mar 2026 Period 13,North West & Central,North West,922028,852814,94.94034597885029,83.7633997565706,2.5774705323482583,3130c Region and route
Apr 2025 to Mar 2026 Period 13,North West & Central,West Coast South,219620,209623,98.30563319514528,84.0289472052208,2.9068390856934707,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Scotland,Scotland,722233,676684,95.11750459293327,89.30992900674465,1.4973007325890675,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Southern,High Speed,12621,12360,100.0,85.07281553398059,2.067981934870454,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Southern,Kent,886189,857225,98.65895863280994,88.22164542564671,1.953533614161313,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Southern,Sussex,677881,642009,97.73671134278007,88.92616770169889,3.0986264550857747,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Southern,Wessex,702027,677488,98.80930851218986,87.41557046028859,2.3325313698760874,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Wales & Western,Wales,238053,207804,89.02159524656108,84.40068526111143,1.9415844370791377,3130c Region and route
Apr 2025 to Mar 2026 Period 13,Wales & Western,Western,443199,407768,94.12579406116117,82.76912361931295,2.252487031784819,3130c Region and route
